;export_buildings.txt DO NOT REMOVE THIS LINE, IT IS NEEDED FOR THE IDE PLUGIN TO WORK

;repairs, dismantles, and upgrades
{generic_repair}	REPAIR
{taverns_name}  TODO: Write me
{temple_of_battle_name}  TODO: Write me
{temple_of_battleforge_name}  TODO: Write me
{temple_of_farming_name}  TODO: Write me
{temple_of_fertility_name}  TODO: Write me
{temple_of_forge_name}  TODO: Write me
{temple_of_fun_name}  TODO: Write me
{temple_of_governors_name}  TODO: Write me
{temple_of_healing_name}  TODO: Write me
{temple_of_horse_name}  TODO: Write me
{temple_of_hunting_name}  TODO: Write me
{temple_of_justice_name}  TODO: Write me
{temple_of_law_name}  TODO: Write me
{temple_of_leadership_name}  TODO: Write me
{temple_of_love_name}  TODO: Write me
{temple_of_naval_name}  TODO: Write me
{temple_of_one_god_name}  TODO: Write me
{temple_of_trade_name}  TODO: Write me
{temple_of_victory_name}  TODO: Write me
{temple_of_violence_name}  TODO: Write me
{temple_of_viking_name}  TODO: Write me
{temple_of_horse_2_name}  TODO: Write me

;building levels

;governors_house
{governors_house}  TODO: Write me
{governors_house_desc}  WARNING! This baseline description should never appear on screen!
{governors_house_desc_short}  WARNING! This baseline short description should never appear on screen!

{governors_house_barbarian}  TODO: Write me
{governors_house_barbarian_desc}  TODO: Write me
{governors_house_barbarian_desc_short}  TODO: Write me

{governors_house_carthaginian}  TODO: Write me
{governors_house_carthaginian_desc}  TODO: Write me
{governors_house_carthaginian_desc_short}  TODO: Write me

{governors_house_eastern}  TODO: Write me
{governors_house_eastern_desc}  TODO: Write me
{governors_house_eastern_desc_short}  TODO: Write me

{governors_house_parthia}  TODO: Write me
{governors_house_parthia_desc}  TODO: Write me
{governors_house_parthia_desc_short}  TODO: Write me

{governors_house_egyptian}  TODO: Write me
{governors_house_egyptian_desc}  TODO: Write me
{governors_house_egyptian_desc_short}  TODO: Write me

{governors_house_greek}  TODO: Write me
{governors_house_greek_desc}  TODO: Write me
{governors_house_greek_desc_short}  TODO: Write me

{governors_house_roman}  TODO: Write me
{governors_house_roman_desc}  TODO: Write me
{governors_house_roman_desc_short}  TODO: Write me

;governors_villa
{governors_villa}  TODO: Write me
{governors_villa_desc}  WARNING! This baseline description should never appear on screen!
{governors_villa_desc_short}  WARNING! This baseline short description should never appear on screen!

{governors_villa_barbarian}  TODO: Write me
{governors_villa_barbarian_desc}  TODO: Write me
{governors_villa_barbarian_desc_short}  TODO: Write me

{governors_villa_carthaginian}  TODO: Write me
{governors_villa_carthaginian_desc}  TODO: Write me
{governors_villa_carthaginian_desc_short}  TODO: Write me

{governors_villa_eastern}  TODO: Write me
{governors_villa_eastern_desc}  TODO: Write me
{governors_villa_eastern_desc_short}  TODO: Write me

{governors_villa_parthia}  TODO: Write me
{governors_villa_parthia_desc}  TODO: Write me
{governors_villa_parthia_desc_short}  TODO: Write me

{governors_villa_egyptian}  TODO: Write me
{governors_villa_egyptian_desc}  TODO: Write me
{governors_villa_egyptian_desc_short}  TODO: Write me

{governors_villa_greek}  TODO: Write me
{governors_villa_greek_desc}  TODO: Write me
{governors_villa_greek_desc_short}  TODO: Write me

{governors_villa_roman}  TODO: Write me
{governors_villa_roman_desc}  TODO: Write me
{governors_villa_roman_desc_short}  TODO: Write me

;governors_palace
{governors_palace}  TODO: Write me
{governors_palace_desc}  WARNING! This baseline description should never appear on screen!
{governors_palace_desc_short}  WARNING! This baseline short description should never appear on screen!

{governors_palace_barbarian}  TODO: Write me
{governors_palace_barbarian_desc}  TODO: Write me
{governors_palace_barbarian_desc_short}  TODO: Write me

{governors_palace_carthaginian}  TODO: Write me
{governors_palace_carthaginian_desc}  TODO: Write me
{governors_palace_carthaginian_desc_short}  TODO: Write me

{governors_palace_eastern}  TODO: Write me
{governors_palace_eastern_desc}  TODO: Write me
{governors_palace_eastern_desc_short}  TODO: Write me

{governors_palace_parthia}  TODO: Write me
{governors_palace_parthia_desc}  TODO: Write me
{governors_palace_parthia_desc_short}  TODO: Write me

{governors_palace_egyptian}  TODO: Write me
{governors_palace_egyptian_desc}  TODO: Write me
{governors_palace_egyptian_desc_short}  TODO: Write me

{governors_palace_greek}  TODO: Write me
{governors_palace_greek_desc}  TODO: Write me
{governors_palace_greek_desc_short}  TODO: Write me

{governors_palace_roman}  TODO: Write me
{governors_palace_roman_desc}  TODO: Write me
{governors_palace_roman_desc_short}  TODO: Write me

;proconsuls_palace
{proconsuls_palace}  TODO: Write me
{proconsuls_palace_desc}  WARNING! This baseline description should never appear on screen!
{proconsuls_palace_desc_short}  WARNING! This baseline short description should never appear on screen!

{proconsuls_palace_barbarian_desc}  WARNING! This text should never appear on screen!
{proconsuls_palace_barbarian_desc_short}  WARNING! This text should never appear on screen!

{proconsuls_palace_carthaginian}  TODO: Write me
{proconsuls_palace_carthaginian_desc}  TODO: Write me
{proconsuls_palace_carthaginian_desc_short}  TODO: Write me

{proconsuls_palace_eastern}  TODO: Write me
{proconsuls_palace_eastern_desc}  TODO: Write me
{proconsuls_palace_eastern_desc_short}  TODO: Write me

{proconsuls_palace_parthia}  TODO: Write me
{proconsuls_palace_parthia_desc}  TODO: Write me
{proconsuls_palace_parthia_desc_short}  TODO: Write me

{proconsuls_palace_egyptian}  TODO: Write me
{proconsuls_palace_egyptian_desc}  TODO: Write me
{proconsuls_palace_egyptian_desc_short}  TODO: Write me

{proconsuls_palace_greek}  TODO: Write me
{proconsuls_palace_greek_desc}  TODO: Write me
{proconsuls_palace_greek_desc_short}  TODO: Write me

{proconsuls_palace_roman}  TODO: Write me
{proconsuls_palace_roman_desc}  TODO: Write me
{proconsuls_palace_roman_desc_short}  TODO: Write me

;imperial_palace
{imperial_palace}  TODO: Write me
{imperial_palace_desc}  WARNING! This baseline description should never appear on screen!
{imperial_palace_desc_short}  WARNING! This baseline short description should never appear on screen!

{imperial_palace_barbarian_desc}  WARNING! This text should never appear on screen!
{imperial_palace_barbarian_desc_short}  WARNING! This text should never appear on screen!

{imperial_palace_carthaginian}  TODO: Write me
{imperial_palace_carthaginian_desc}  TODO: Write me
{imperial_palace_carthaginian_desc_short}  TODO: Write me

{imperial_palace_eastern}  TODO: Write me
{imperial_palace_eastern_desc}  TODO: Write me
{imperial_palace_eastern_desc_short}  TODO: Write me

{imperial_palace_parthia}  TODO: Write me
{imperial_palace_parthia_desc}  TODO: Write me
{imperial_palace_parthia_desc_short}  TODO: Write me

{imperial_palace_egyptian}  TODO: Write me
{imperial_palace_egyptian_desc}  TODO: Write me
{imperial_palace_egyptian_desc_short}  TODO: Write me

{imperial_palace_greek}  TODO: Write me
{imperial_palace_greek_desc}  TODO: Write me
{imperial_palace_greek_desc_short}  TODO: Write me

{imperial_palace_roman}  TODO: Write me
{imperial_palace_roman_desc}  TODO: Write me
{imperial_palace_roman_desc_short}  TODO: Write me

;wooden_pallisade
{wooden_pallisade}  TODO: Write me
{wooden_pallisade_desc}  WARNING! This baseline description should never appear on screen!
{wooden_pallisade_desc_short}  WARNING! This baseline short description should never appear on screen!

{wooden_pallisade_barbarian}  TODO: Write me
{wooden_pallisade_barbarian_desc}  TODO: Write me
{wooden_pallisade_barbarian_desc_short}  TODO: Write me

{wooden_pallisade_carthaginian}  TODO: Write me
{wooden_pallisade_carthaginian_desc}  TODO: Write me
{wooden_pallisade_carthaginian_desc_short}  TODO: Write me

{wooden_pallisade_eastern}  TODO: Write me
{wooden_pallisade_eastern_desc}  TODO: Write me
{wooden_pallisade_eastern_desc_short}  TODO: Write me

{wooden_pallisade_parthia}  TODO: Write me
{wooden_pallisade_parthia_desc}  TODO: Write me
{wooden_pallisade_parthia_desc_short}  TODO: Write me

{wooden_pallisade_egyptian}  TODO: Write me
{wooden_pallisade_egyptian_desc}  TODO: Write me
{wooden_pallisade_egyptian_desc_short}  TODO: Write me

{wooden_pallisade_greek}  TODO: Write me
{wooden_pallisade_greek_desc}  TODO: Write me
{wooden_pallisade_greek_desc_short}  TODO: Write me

{wooden_pallisade_roman}  TODO: Write me
{wooden_pallisade_roman_desc}  TODO: Write me
{wooden_pallisade_roman_desc_short}  TODO: Write me

;wooden_wall
{wooden_wall}  TODO: Write me
{wooden_wall_desc}  WARNING! This baseline description should never appear on screen!
{wooden_wall_desc_short}  WARNING! This baseline short description should never appear on screen!

{wooden_wall_barbarian}  TODO: Write me
{wooden_wall_barbarian_desc}  TODO: Write me
{wooden_wall_barbarian_desc_short}  TODO: Write me

{wooden_wall_carthaginian}  TODO: Write me
{wooden_wall_carthaginian_desc}  TODO: Write me
{wooden_wall_carthaginian_desc_short}  TODO: Write me

{wooden_wall_eastern}  TODO: Write me
{wooden_wall_eastern_desc}  TODO: Write me
{wooden_wall_eastern_desc_short}  TODO: Write me

{wooden_wall_parthia}  TODO: Write me
{wooden_wall_parthia_desc}  TODO: Write me
{wooden_wall_parthia_desc_short}  TODO: Write me

{wooden_wall_egyptian}  TODO: Write me
{wooden_wall_egyptian_desc}  TODO: Write me
{wooden_wall_egyptian_desc_short}  TODO: Write me

{wooden_wall_greek}  TODO: Write me
{wooden_wall_greek_desc}  TODO: Write me
{wooden_wall_greek_desc_short}  TODO: Write me

{wooden_wall_roman}  TODO: Write me
{wooden_wall_roman_desc}  TODO: Write me
{wooden_wall_roman_desc_short}  TODO: Write me

;stone_wall
{stone_wall}  TODO: Write me
{stone_wall_desc}  WARNING! This baseline description should never appear on screen!
{stone_wall_desc_short}  WARNING! This baseline short description should never appear on screen!

{stone_wall_barbarian_desc}  WARNING! This text should never appear on screen!
{stone_wall_barbarian_desc_short}  WARNING! This text should never appear on screen!

{stone_wall_carthaginian}  TODO: Write me
{stone_wall_carthaginian_desc}  TODO: Write me
{stone_wall_carthaginian_desc_short}  TODO: Write me

{stone_wall_eastern}  TODO: Write me
{stone_wall_eastern_desc}  TODO: Write me
{stone_wall_eastern_desc_short}  TODO: Write me

{stone_wall_parthia}  TODO: Write me
{stone_wall_parthia_desc}  TODO: Write me
{stone_wall_parthia_desc_short}  TODO: Write me

{stone_wall_egyptian}  TODO: Write me
{stone_wall_egyptian_desc}  TODO: Write me
{stone_wall_egyptian_desc_short}  TODO: Write me

{stone_wall_greek}  TODO: Write me
{stone_wall_greek_desc}  TODO: Write me
{stone_wall_greek_desc_short}  TODO: Write me

{stone_wall_roman}  TODO: Write me
{stone_wall_roman_desc}  TODO: Write me
{stone_wall_roman_desc_short}  TODO: Write me

;large_stone_wall
{large_stone_wall}  TODO: Write me
{large_stone_wall_desc}  WARNING! This baseline description should never appear on screen!
{large_stone_wall_desc_short}  WARNING! This baseline short description should never appear on screen!

{large_stone_wall_barbarian_desc}  WARNING! This text should never appear on screen!
{large_stone_wall_barbarian_desc_short}  WARNING! This text should never appear on screen!

{large_stone_wall_carthaginian}  TODO: Write me
{large_stone_wall_carthaginian_desc}  TODO: Write me
{large_stone_wall_carthaginian_desc_short}  TODO: Write me

{large_stone_wall_eastern}  TODO: Write me
{large_stone_wall_eastern_desc}  TODO: Write me
{large_stone_wall_eastern_desc_short}  TODO: Write me

{large_stone_wall_parthia}  TODO: Write me
{large_stone_wall_parthia_desc}  TODO: Write me
{large_stone_wall_parthia_desc_short}  TODO: Write me

{large_stone_wall_egyptian}  TODO: Write me
{large_stone_wall_egyptian_desc}  TODO: Write me
{large_stone_wall_egyptian_desc_short}  TODO: Write me

{large_stone_wall_greek}  TODO: Write me
{large_stone_wall_greek_desc}  TODO: Write me
{large_stone_wall_greek_desc_short}  TODO: Write me

{large_stone_wall_roman}  TODO: Write me
{large_stone_wall_roman_desc}  TODO: Write me
{large_stone_wall_roman_desc_short}  TODO: Write me

;epic_stone_wall
{epic_stone_wall}  TODO: Write me
{epic_stone_wall_desc}  WARNING! This baseline description should never appear on screen!
{epic_stone_wall_desc_short}  WARNING! This baseline short description should never appear on screen!

{epic_stone_wall_barbarian_desc}  WARNING! This text should never appear on screen!
{epic_stone_wall_barbarian_desc_short}  WARNING! This text should never appear on screen!

{epic_stone_wall_carthaginian}  TODO: Write me
{epic_stone_wall_carthaginian_desc}  TODO: Write me
{epic_stone_wall_carthaginian_desc_short}  TODO: Write me

{epic_stone_wall_eastern}  TODO: Write me
{epic_stone_wall_eastern_desc}  TODO: Write me
{epic_stone_wall_eastern_desc_short}  TODO: Write me

{epic_stone_wall_parthia}  TODO: Write me
{epic_stone_wall_parthia_desc}  TODO: Write me
{epic_stone_wall_parthia_desc_short}  TODO: Write me

{epic_stone_wall_egyptian}  TODO: Write me
{epic_stone_wall_egyptian_desc}  TODO: Write me
{epic_stone_wall_egyptian_desc_short}  TODO: Write me

{epic_stone_wall_greek}  TODO: Write me
{epic_stone_wall_greek_desc}  TODO: Write me
{epic_stone_wall_greek_desc_short}  TODO: Write me

{epic_stone_wall_roman}  TODO: Write me
{epic_stone_wall_roman_desc}  TODO: Write me
{epic_stone_wall_roman_desc_short}  TODO: Write me

;muster_field
{muster_field}  TODO: Write me
{muster_field_desc}  WARNING! This baseline description should never appear on screen!
{muster_field_desc_short}  WARNING! This baseline short description should never appear on screen!

{muster_field_barbarian}  TODO: Write me
{muster_field_barbarian_desc}  TODO: Write me
{muster_field_barbarian_desc_short}  TODO: Write me

{muster_field_carthaginian}  TODO: Write me
{muster_field_carthaginian_desc}  TODO: Write me
{muster_field_carthaginian_desc_short}  TODO: Write me

{muster_field_eastern}  TODO: Write me
{muster_field_eastern_desc}  TODO: Write me
{muster_field_eastern_desc_short}  TODO: Write me

{muster_field_parthia}  TODO: Write me
{muster_field_parthia_desc}  TODO: Write me
{muster_field_parthia_desc_short}  TODO: Write me

{muster_field_egyptian}  TODO: Write me
{muster_field_egyptian_desc}  TODO: Write me
{muster_field_egyptian_desc_short}  TODO: Write me

{muster_field_greek}  TODO: Write me
{muster_field_greek_desc}  TODO: Write me
{muster_field_greek_desc_short}  TODO: Write me

{muster_field_roman}  TODO: Write me
{muster_field_roman_desc}  TODO: Write me
{muster_field_roman_desc_short}  TODO: Write me

;militia_barracks
{militia_barracks}  TODO: Write me
{militia_barracks_desc}  WARNING! This baseline description should never appear on screen!
{militia_barracks_desc_short}  WARNING! This baseline short description should never appear on screen!

{militia_barracks_barbarian}  TODO: Write me
{militia_barracks_barbarian_desc}  TODO: Write me
{militia_barracks_barbarian_desc_short}  TODO: Write me

{militia_barracks_carthaginian}  TODO: Write me
{militia_barracks_carthaginian_desc}  TODO: Write me
{militia_barracks_carthaginian_desc_short}  TODO: Write me

{militia_barracks_eastern}  TODO: Write me
{militia_barracks_eastern_desc}  TODO: Write me
{militia_barracks_eastern_desc_short}  TODO: Write me

{militia_barracks_parthia}  TODO: Write me
{militia_barracks_parthia_desc}  TODO: Write me
{militia_barracks_parthia_desc_short}  TODO: Write me

{militia_barracks_egyptian}  TODO: Write me
{militia_barracks_egyptian_desc}  TODO: Write me
{militia_barracks_egyptian_desc_short}  TODO: Write me

{militia_barracks_greek}  TODO: Write me
{militia_barracks_greek_desc}  TODO: Write me
{militia_barracks_greek_desc_short}  TODO: Write me

{militia_barracks_roman}  TODO: Write me
{militia_barracks_roman_desc}  TODO: Write me
{militia_barracks_roman_desc_short}  TODO: Write me

;city_barracks
{city_barracks}  TODO: Write me
{city_barracks_desc}  WARNING! This baseline description should never appear on screen!
{city_barracks_desc_short}  WARNING! This baseline short description should never appear on screen!

{city_barracks_eastern_desc}  WARNING! This text should never appear on screen!
{city_barracks_eastern_desc_short}  WARNING! This text should never appear on screen!

{city_barracks_barbarian}  TODO: Write me
{city_barracks_barbarian_desc}  TODO: Write me
{city_barracks_barbarian_desc_short}  TODO: Write me

{city_barracks_carthaginian}  TODO: Write me
{city_barracks_carthaginian_desc}  TODO: Write me
{city_barracks_carthaginian_desc_short}  TODO: Write me

{city_barracks_armenia}  TODO: Write me
{city_barracks_armenia_desc}  TODO: Write me
{city_barracks_armenia_desc_short}  TODO: Write me

{city_barracks_pontus}  TODO: Write me
{city_barracks_pontus_desc}  TODO: Write me
{city_barracks_pontus_desc_short}  TODO: Write me

{city_barracks_egyptian}  TODO: Write me
{city_barracks_egyptian_desc}  TODO: Write me
{city_barracks_egyptian_desc_short}  TODO: Write me

{city_barracks_greek}  TODO: Write me
{city_barracks_greek_desc}  TODO: Write me
{city_barracks_greek_desc_short}  TODO: Write me

{city_barracks_roman}  TODO: Write me
{city_barracks_roman_desc}  TODO: Write me
{city_barracks_roman_desc_short}  TODO: Write me

;army_barracks
{army_barracks}  TODO: Write me
{army_barracks_desc}  WARNING! This baseline description should never appear on screen!
{army_barracks_desc_short}  WARNING! This baseline short description should never appear on screen!

{army_barracks_barbarian_desc}  WARNING! This text should never appear on screen!
{army_barracks_barbarian_desc_short}  WARNING! This text should never appear on screen!

{army_barracks_eastern_desc}  WARNING! This text should never appear on screen!
{army_barracks_eastern_desc_short}  WARNING! This text should never appear on screen!

{army_barracks_carthaginian}  TODO: Write me
{army_barracks_carthaginian_desc}  TODO: Write me
{army_barracks_carthaginian_desc_short}  TODO: Write me

{army_barracks_armenia}  TODO: Write me
{army_barracks_armenia_desc}  TODO: Write me
{army_barracks_armenia_desc_short}  TODO: Write me

{army_barracks_pontus}  TODO: Write me
{army_barracks_pontus_desc}  TODO: Write me
{army_barracks_pontus_desc_short}  TODO: Write me

{army_barracks_egyptian}  TODO: Write me
{army_barracks_egyptian_desc}  TODO: Write me
{army_barracks_egyptian_desc_short}  TODO: Write me

{army_barracks_greek}  TODO: Write me
{army_barracks_greek_desc}  TODO: Write me
{army_barracks_greek_desc_short}  TODO: Write me

{army_barracks_roman}  TODO: Write me
{army_barracks_roman_desc}  TODO: Write me
{army_barracks_roman_desc_short}  TODO: Write me

;royal_barracks
{royal_barracks}  TODO: Write me
{royal_barracks_desc}  WARNING! This baseline description should never appear on screen!
{royal_barracks_desc_short}  WARNING! This baseline short description should never appear on screen!

{royal_barracks_barbarian_desc}  WARNING! This text should never appear on screen!
{royal_barracks_barbarian_desc_short}  WARNING! This text should never appear on screen!

{royal_barracks_carthaginian_desc}  WARNING! This text should never appear on screen!
{royal_barracks_carthaginian_desc_short}  WARNING! This text should never appear on screen!

{royal_barracks_greek_desc}  WARNING! This text should never appear on screen!
{royal_barracks_greek_desc_short}  WARNING! This text should never appear on screen!

{royal_barracks_egyptian_desc}  WARNING! This text should never appear on screen!
{royal_barracks_egyptian_desc_short}  WARNING! This text should never appear on screen!

{royal_barracks_eastern_desc}  WARNING! This text should never appear on screen!
{royal_barracks_eastern_desc_short}  WARNING! This text should never appear on screen!

{royal_barracks_seleucid}  TODO: Write me
{royal_barracks_seleucid_desc}  TODO: Write me
{royal_barracks_seleucid_desc_short}  TODO: Write me

{royal_barracks_roman}  TODO: Write me
{royal_barracks_roman_desc}  TODO: Write me
{royal_barracks_roman_desc_short}  TODO: Write me

;stables
{stables}  TODO: Write me
{stables_desc}  WARNING! This baseline description should never appear on screen!
{stables_desc_short}  WARNING! This baseline short description should never appear on screen!

{stables_barbarian}  TODO: Write me
{stables_barbarian_desc}  TODO: Write me
{stables_barbarian_desc_short}  TODO: Write me

{stables_carthaginian}  TODO: Write me
{stables_carthaginian_desc}  TODO: Write me
{stables_carthaginian_desc_short}  TODO: Write me

{stables_eastern}  TODO: Write me
{stables_eastern_desc}  TODO: Write me
{stables_eastern_desc_short}  TODO: Write me

{stables_parthia}  TODO: Write me
{stables_parthia_desc}  TODO: Write me
{stables_parthia_desc_short}  TODO: Write me

{stables_egyptian}  TODO: Write me
{stables_egyptian_desc}  TODO: Write me
{stables_egyptian_desc_short}  TODO: Write me

{stables_greek}  TODO: Write me
{stables_greek_desc}  TODO: Write me
{stables_greek_desc_short}  TODO: Write me

{stables_roman}  TODO: Write me
{stables_roman_desc}  TODO: Write me
{stables_roman_desc_short}  TODO: Write me

;cavalry_barracks
{cavalry_barracks}  TODO: Write me
{cavalry_barracks_desc}  WARNING! This baseline description should never appear on screen!
{cavalry_barracks_desc_short}  WARNING! This baseline short description should never appear on screen!

{cavalry_barracks_barbarian_desc}  WARNING! This text should never appear on screen!
{cavalry_barracks_barbarian_desc_short}  WARNING! This text should never appear on screen!

{cavalry_barracks_spain}  TODO: Write me
{cavalry_barracks_spain_desc}  TODO: Write me
{cavalry_barracks_spain_desc_short}  TODO: Write me

{cavalry_barracks_scythia}  TODO: Write me
{cavalry_barracks_scythia_desc}  TODO: Write me
{cavalry_barracks_scythia_desc_short}  TODO: Write me

{cavalry_barracks_germans}  TODO: Write me
{cavalry_barracks_germans_desc}  TODO: Write me
{cavalry_barracks_germans_desc_short}  TODO: Write me

{cavalry_barracks_gauls}  TODO: Write me
{cavalry_barracks_gauls_desc}  TODO: Write me
{cavalry_barracks_gauls_desc_short}  TODO: Write me

{cavalry_barracks_dacia}  TODO: Write me
{cavalry_barracks_dacia_desc}  TODO: Write me
{cavalry_barracks_dacia_desc_short}  TODO: Write me

{cavalry_barracks_carthaginian}  TODO: Write me
{cavalry_barracks_carthaginian_desc}  TODO: Write me
{cavalry_barracks_carthaginian_desc_short}  TODO: Write me

{cavalry_barracks_eastern}  TODO: Write me
{cavalry_barracks_eastern_desc}  TODO: Write me
{cavalry_barracks_eastern_desc_short}  TODO: Write me

{cavalry_barracks_parthia}  TODO: Write me
{cavalry_barracks_parthia_desc}  TODO: Write me
{cavalry_barracks_parthia_desc_short}  TODO: Write me

{cavalry_barracks_egyptian}  TODO: Write me
{cavalry_barracks_egyptian_desc}  TODO: Write me
{cavalry_barracks_egyptian_desc_short}  TODO: Write me

{cavalry_barracks_greek}  TODO: Write me
{cavalry_barracks_greek_desc}  TODO: Write me
{cavalry_barracks_greek_desc_short}  TODO: Write me

{cavalry_barracks_roman}  TODO: Write me
{cavalry_barracks_roman_desc}  TODO: Write me
{cavalry_barracks_roman_desc_short}  TODO: Write me

;hippodrome
{hippodrome}  TODO: Write me
{hippodrome_desc}  WARNING! This baseline description should never appear on screen!
{hippodrome_desc_short}  WARNING! This baseline short description should never appear on screen!

{hippodrome_barbarian_desc}  WARNING! This text should never appear on screen!
{hippodrome_barbarian_desc_short}  WARNING! This text should never appear on screen!

{hippodrome_carthaginian_desc}  WARNING! This text should never appear on screen!
{hippodrome_carthaginian_desc_short}  WARNING! This text should never appear on screen!

{hippodrome_greek_desc}  WARNING! This text should never appear on screen!
{hippodrome_greek_desc_short}  WARNING! This text should never appear on screen!

{hippodrome_carthage}  TODO: Write me
{hippodrome_carthage_desc}  TODO: Write me
{hippodrome_carthage_desc_short}  TODO: Write me

{hippodrome_eastern}  TODO: Write me
{hippodrome_eastern_desc}  TODO: Write me
{hippodrome_eastern_desc_short}  TODO: Write me

{hippodrome_parthia}  TODO: Write me
{hippodrome_parthia_desc}  TODO: Write me
{hippodrome_parthia_desc_short}  TODO: Write me

{hippodrome_egyptian}  TODO: Write me
{hippodrome_egyptian_desc}  TODO: Write me
{hippodrome_egyptian_desc_short}  TODO: Write me

{hippodrome_greek_cities}  TODO: Write me
{hippodrome_greek_cities_desc}  TODO: Write me
{hippodrome_greek_cities_desc_short}  TODO: Write me

{hippodrome_macedon}  TODO: Write me
{hippodrome_macedon_desc}  TODO: Write me
{hippodrome_macedon_desc_short}  TODO: Write me

{hippodrome_seleucid}  TODO: Write me
{hippodrome_seleucid_desc}  TODO: Write me
{hippodrome_seleucid_desc_short}  TODO: Write me

{hippodrome_roman}  TODO: Write me
{hippodrome_roman_desc}  TODO: Write me
{hippodrome_roman_desc_short}  TODO: Write me

;circus_maximus
{circus_maximus}  TODO: Write me
{circus_maximus_desc}  WARNING! This baseline description should never appear on screen!
{circus_maximus_desc_short}  WARNING! This baseline short description should never appear on screen!

{circus_maximus_barbarian_desc}  WARNING! This text should never appear on screen!
{circus_maximus_barbarian_desc_short}  WARNING! This text should never appear on screen!

{circus_maximus_carthaginian_desc}  WARNING! This text should never appear on screen!
{circus_maximus_carthaginian_desc_short}  WARNING! This text should never appear on screen!

{circus_maximus_greek_desc}  WARNING! This text should never appear on screen!
{circus_maximus_greek_desc_short}  WARNING! This text should never appear on screen!

{circus_maximus_egyptian_desc}  WARNING! This text should never appear on screen!
{circus_maximus_egyptian_desc_short}  WARNING! This text should never appear on screen!

{circus_maximus_eastern_desc}  WARNING! This text should never appear on screen!
{circus_maximus_eastern_desc_short}  WARNING! This text should never appear on screen!

{circus_maximus_carthage}  TODO: Write me
{circus_maximus_carthage_desc}  TODO: Write me
{circus_maximus_carthage_desc_short}  TODO: Write me

{circus_maximus_parthia}  TODO: Write me
{circus_maximus_parthia_desc}  TODO: Write me
{circus_maximus_parthia_desc_short}  TODO: Write me

{circus_maximus_macedon}  TODO: Write me
{circus_maximus_macedon_desc}  TODO: Write me
{circus_maximus_macedon_desc_short}  TODO: Write me

{circus_maximus_seleucid}  TODO: Write me
{circus_maximus_seleucid_desc}  TODO: Write me
{circus_maximus_seleucid_desc_short}  TODO: Write me

{circus_maximus_roman}  TODO: Write me
{circus_maximus_roman_desc}  TODO: Write me
{circus_maximus_roman_desc_short}  TODO: Write me

;practice_field
{practice_field}  TODO: Write me
{practice_field_desc}  WARNING! This baseline description should never appear on screen!
{practice_field_desc_short}  WARNING! This baseline short description should never appear on screen!

